	IAV_HA	IAV_M	IAV_NA	IAV_NP	IAV_NS	IAV_PA	IAV_PB1	IAV_PB2
E2-GP27-D4	15118.1	51267.84	3596.49	15461.73	14880.2	7037.32	5040.88	3108.72
E1-GP04-D4	21890.28	91955.99	0	31760.22	40844.66	9834.72	9136.95	6577.42
E1-GP02-D3	11475.21	137629.19	0	25848.01	44001.98	7119.77	3991.49	4130.55
E1-GP07-D1	28442.99	72715.27	13987.63	30333.0	29275.49	15797.98	10146.02	5818.76
E1-GP08-D3	0	99158.68	0	4421.13	51120.84	0	0	5881.24
E2-GP29-D5	17585.15	82909.87	0	23855.82	27004.93	7518.47	7322.36	3238.51
E1-GP15-D1	24127.95	84132.7	1600.2	31628.78	32099.64	15612.11	9091.13	5449.89
E1-GP13-D1	27468.95	74008.47	1673.68	33013.12	27306.19	16769.32	10865.04	6543.42
E1-GP06-D3	2436.46	62592.12	0	4212.64	24718.75	0	0	0
E1-GP10-D5	0	39408.24	0	2065.33	47803.14	4017.55	0	0
E1-GP01-D1	18152.01	122182.16	2431.72	26362.8	51149.45	5741.78	3649.58	1592.57
E2-GP26-D4	25107.3	90583.41	0	35507.99	33153.9	11607.76	8707.1	5572.37
E1-GP12-D5	14092.81	32627.28	0	14670.84	19857.2	3186.52	11957.28	3880.45
E1-GP08-D4	30630.65	67167.66	0	36694.23	26924.91	17683.56	13704.44	8909.9
E1-GP14-D5	29422.19	81907.26	0	37845.12	34075.03	18245.28	13863.64	7872.79
E1-GP09-D1	33302.0	87202.33	2151.18	38555.41	34060.6	19175.28	12009.29	8246.64
E2-GP28-D3	2705.19	30007.18	0	6079.01	9987.26	2074.17	2507.66	0
E2-GP28-D4	13613.18	60608.46	0	18080.91	17730.82	6330.71	4524.07	2510.15
E1-GP04-D3	1908.14	242027.76	0	6769.79	70846.49	0	5820.94	0
E1-GP06-D4	51122.04	170554.17	1005.58	70469.01	66712.64	35378.55	22912.42	15412.69
E2-GP31-D6	22880.62	46682.21	0	23551.79	12102.66	11564.81	6351.24	3266.48
E1-GP05-D1	20117.85	95350.8	1305.55	28525.22	31164.72	8450.85	5594.26	3077.72
E2-GP27-D3	0	7798.41	0	0	4687.9	0	0	0
E1-GP12-D4	2870.76	78778.73	0	1322.0	22300.29	4245.98	4447.01	2256.59
E1-GP02-D4	37398.21	84413.32	0	50630.98	35223.57	23777.79	18021.75	12865.01
E1-GP14-D4	10051.54	77123.78	2333.63	11304.33	32669.22	6023.13	3266.34	2585.49
E1-GP11-D1	29789.24	76726.09	3060.74	34856.93	27117.37	19314.76	12129.99	8652.54
E2-GP29-D4	0	5094.86	0	1146.83	4203.75	0	0	0
E1-GP10-D6	22641.54	70623.52	0	28074.54	26859.37	11751.46	9950.39	5099.85
E1-GP03-D1	24902.54	83257.13	2596.87	28995.93	26999.55	11998.42	8004.55	4469.67
E2-GP31-D5	1238.29	7778.85	0	1702.09	2638.84	0	0	0
E2-GP26-D3	25960.89	85617.38	0	35051.88	27228.86	14927.47	11746.59	7835.03
