	IAV_HA	IAV_M	IAV_NA	IAV_NP	IAV_NS	IAV_PA	IAV_PB1	IAV_PB2
E2-GP27-D4	0.99	0.98	0.93	0.98	0.97	0.98	0.97	0.97
E1-GP04-D4	0.99	0.99	0.037	0.99	0.98	0.99	0.99	0.99
E1-GP02-D3	0.99	0.99	0.068	0.99	0.98	0.99	0.99	0.99
E1-GP07-D1	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.98
E1-GP08-D3	0.26	0.99	0.092	0.97	0.98	0.25	0.21	0.99
E2-GP29-D5	0.99	0.98	0.0	0.99	0.98	0.98	0.99	0.97
E1-GP15-D1	0.99	0.99	0.87	0.99	0.98	0.99	0.99	0.98
E1-GP13-D1	0.99	0.99	0.88	0.99	0.98	0.99	0.99	0.98
E1-GP06-D3	0.97	0.99	0.063	0.89	0.97	0.28	0.44	0.17
E1-GP10-D5	0.17	0.98	0.091	0.68	0.98	0.99	0.19	0.17
E1-GP01-D1	0.99	0.99	0.94	0.99	0.98	0.98	0.97	0.9
E2-GP26-D4	0.99	0.99	0.0	0.99	0.98	0.99	0.99	0.98
E1-GP12-D5	0.99	0.98	0.0	0.98	0.98	0.98	0.99	0.99
E1-GP08-D4	0.99	0.98	0.002	0.99	0.98	0.99	0.99	0.99
E1-GP14-D5	0.99	0.99	0.018	0.99	0.98	0.99	0.99	0.99
E1-GP09-D1	0.99	0.99	0.95	0.99	0.98	0.99	0.99	0.99
E2-GP28-D3	0.97	0.98	0.068	0.97	0.96	0.84	0.96	0.39
E2-GP28-D4	0.99	0.98	0.0	0.99	0.98	0.98	0.97	0.97
E1-GP04-D3	0.96	0.99	0.01	0.98	0.97	0.48	0.94	0.28
E1-GP06-D4	0.99	0.99	0.5	0.99	0.98	0.99	0.99	0.99
E2-GP31-D6	0.99	0.98	0.028	0.99	0.97	0.99	0.98	0.97
E1-GP05-D1	0.99	0.99	0.68	0.99	0.98	0.99	0.98	0.98
E2-GP27-D3	0.0	0.95	0.0	0.25	0.9	0.05	0.0	0.053
E1-GP12-D4	0.98	0.99	0.06	0.88	0.97	0.99	0.99	0.62
E1-GP02-D4	0.99	0.99	0.0	0.99	0.98	0.99	0.99	0.99
E1-GP14-D4	0.99	0.98	0.97	0.98	0.98	0.99	0.99	0.99
E1-GP11-D1	0.99	0.99	0.95	0.99	0.98	0.99	0.99	0.99
E2-GP29-D4	0.48	0.95	0.0	0.76	0.93	0.052	0.0	0.11
E1-GP10-D6	0.99	0.98	0.0	0.99	0.98	0.99	0.99	0.98
E1-GP03-D1	0.99	0.99	0.96	0.99	0.98	0.99	0.99	0.98
E2-GP31-D5	0.77	0.97	0.0	0.94	0.91	0.14	0.04	0.1
E2-GP26-D3	0.99	0.99	0.0	0.99	0.98	0.99	0.99	0.99
