sampleID	shannon_div	simpson_div	chao_richness	shannon_evenness	obs_richness
E1_GP14_day3_pp01	0.03583	0.9914	13.31	0.01417	10.89
E1_GP14_day3_pp02	0.03854	0.9901	8.615	0.01681	10.09
E1_GP14_day3_pp03	0.9044	0.5043	25.04	0.2999	20.24
E1_GP14_day3_pp04	0.0409	0.9899	15.18	0.01621	11.98
E1_GP14_day3_pp05	0.03611	0.9911	19.0	0.01443	12.98
E1_GP14_day3_pp06	0.03818	0.9904	13.76	0.01575	11.11
E1_GP14_day3_pp07	0.04498	0.9884	15.5	0.01838	11.11
E1_GP14_day3_pp08	0.03941	0.9903	12.06	0.01613	11.06
E1_GP14_day3_pp09	0.2292	0.92	16.9	0.08233	15.49
E1_GP14_day3_pp10	0.2281	0.9137	18.23	0.08405	15.61
E1_GP14_day3_pp11	0.05834	0.9844	9.797	0.02584	9.89
E1_GP14_day3_pp12	0.07813	0.9793	16.11	0.02838	14.22
E1_GP14_day3_pp13	0.05896	0.9845	14.58	0.02356	12.31
E1_GP14_day3_pp14	0.04323	0.9887	18.85	0.01702	13.46
E1_GP14_day3_pp15	0.04198	0.9894	20.82	0.01531	14.15
E1_GP14_day3_pp16	0.03306	0.9917	15.71	0.01437	10.78
E1_GP14_day3_pp17	0.03994	0.9893	16.96	0.01672	10.73
E1_GP14_day3_pp18	0.03748	0.9906	14.45	0.01517	10.45
E1_GP14_day3_pp19	0.1826	0.9408	24.47	0.06331	17.62
E1_GP14_day3_pp21	0.03938	0.9894	21.26	0.01549	12.38
E1_GP14_day3_pp22	0.04526	0.9884	13.82	0.01827	11.5
E1_GP14_day3_pp23	0.04836	0.9875	11.24	0.01977	11.13
E1_GP14_day3_pp24	0.04918	0.9874	11.06	0.02091	10.99
E1_GP14_day4_pp01	0.05049	0.9866	18.94	0.01984	13.21
E1_GP14_day4_pp02	0.8271	0.48	33.02	0.2509	26.67
E1_GP14_day4_pp03	0.3334	0.8488	25.17	0.1093	20.27
E1_GP14_day4_pp04	0.05476	0.9852	18.43	0.02054	12.91
E1_GP14_day4_pp05	0.6737	0.6163	37.77	0.1996	29.78
E1_GP14_day4_pp06	0.06114	0.9832	22.49	0.02263	13.22
E1_GP14_day4_pp07	0.04293	0.9883	19.76	0.01638	11.86
E1_GP14_day4_pp08	0.1398	0.9446	6.878	0.075	6.624
E1_GP14_day4_pp09	0.3965	0.7938	24.23	0.1304	21.46
E1_GP14_day4_pp10	0.4079	0.8039	28.89	0.1321	21.66
E1_GP14_day4_pp11	0.1025	0.9655	25.19	0.03618	16.69
E1_GP14_day4_pp12	0.1995	0.9238	20.02	0.07163	15.41
E1_GP14_day4_pp13	0.7536	0.5499	34.02	0.2276	28.01
E1_GP14_day4_pp14	0.6049	0.6619	22.02	0.202	20.43
E1_GP14_day4_pp15	0.211	0.921	26.47	0.06705	21.6
E1_GP14_day4_pp16	0.02592	0.9944	16.75	0.01018	12.99
E1_GP14_day4_pp17	0.76	0.5429	38.5	0.2282	27.25
E1_GP14_day4_pp18	0.04232	0.9892	16.82	0.01781	10.65
E1_GP14_day4_pp19	0.04633	0.9886	15.6	0.01674	13.37
E1_GP14_day4_pp20	0.03228	0.9921	11.69	0.01383	8.938
E1_GP14_day4_pp21	0.0472	0.9882	13.88	0.01831	12.79
E1_GP14_day4_pp22	0.03833	0.9909	10.21	0.01611	10.57
E1_GP14_day4_pp23	0.05012	0.9874	17.05	0.01882	13.48
E1_GP14_day4_pp24	0.2086	0.9219	16.82	0.07701	15.62
E2_GP27_day3_pp01	0.09712	0.9623	6.082	0.0886	6.082
E2_GP27_day3_pp02	0.148	0.9555	10.87	0.07529	10.87
E2_GP27_day3_pp03	0.1478	0.949	7.057	0.07615	7.057
E2_GP27_day3_pp04	0.1929	0.9373	3.055	0.04114	27.7
E2_GP27_day3_pp05	0.1589	0.9473	8.81	0.07223	9.102
E2_GP27_day3_pp06	0.1818	0.9381	14.29	0.07572	10.7
E2_GP27_day3_pp07	0.1679	0.9469	9.856	0.07561	8.92
E2_GP27_day3_pp08	0.1322	0.9516	10.1	0.06479	10.1
E2_GP27_day3_pp09	0.1839	0.937	8.21	0.08762	8.21
E2_GP27_day3_pp11	0.172	0.9413	8.876	0.07862	8.939
E2_GP27_day3_pp12	0.1608	0.9449	6.116	0.08883	6.116
E2_GP27_day3_pp13	0.166	0.9409	4.536	0.1026	4.536
E2_GP27_day3_pp14	0.1717	0.954	13.7	0.07088	18.45
E2_GP27_day3_pp15	0.173	0.9389	7.915	0.08215	8.642
E2_GP27_day3_pp16	0.1734	0.9402	7.56	0.08612	7.56
E2_GP27_day3_pp17	0.169	0.944	8.21	0.08045	8.21
E2_GP27_day3_pp18	0.3807	0.8595	15.82	0.1394	15.3
E2_GP27_day3_pp19	0.1735	0.9455	9.123	0.07916	9.175
E2_GP27_day3_pp20	0.2869	0.8971	10.1	0.1258	10.1
E2_GP27_day3_pp21	0.1576	0.9467	6.869	0.07828	7.114
E2_GP27_day3_pp23	0.1774	0.9495	25.15	0.02489	18.2
E2_GP27_day3_pp24	0.1578	0.9463	6.904	0.08172	6.904
E2_GP27_day4_pp01	0.1575	0.9449	5.763	0.09013	5.763
E2_GP27_day4_pp02	0.1168	0.9579	4.177	0.08211	4.177
E2_GP27_day4_pp03	0.1581	0.9429	4.0	0.1144	4.0
E2_GP27_day4_pp04	0.1666	0.9423	5.0	0.1037	5.0
E2_GP27_day4_pp05	0.144	0.9523	6.256	0.07742	6.256
E2_GP27_day4_pp06	0.1886	0.9345	11.03	0.08151	10.41
E2_GP27_day4_pp07	0.1829	0.9416	8.92	0.08362	8.92
E2_GP27_day4_pp08	0.1618	0.9441	3.55	0.1224	3.55
E2_GP27_day4_pp09	0.1625	0.9441	6.084	0.08984	6.084
E2_GP27_day4_pp11	0.1464	0.9516	5.763	0.08189	5.763
E2_GP27_day4_pp12	0.163	0.9447	8.1	0.07768	8.1
E2_GP27_day4_pp13	0.1081	0.9673	4.406	0.08523	9.188
E2_GP27_day4_pp14	0.4994	0.8072	19.22	0.1669	18.1
E2_GP27_day4_pp15	0.2192	0.9235	4.963	0.05869	4.963
E2_GP27_day4_pp16	0.1838	0.9389	11.57	0.07462	11.58
E2_GP27_day4_pp17	0.1651	0.9467	11.42	0.06692	12.51
E2_GP27_day4_pp18	0.1787	0.9372	7.215	0.09195	7.215
E2_GP27_day4_pp19	0.2487	0.926	52.64	0.06868	34.18
E2_GP27_day4_pp20	0.1477	0.9571	10.87	0.04896	10.87
E2_GP27_day4_pp21	0.2221	0.9307	21.03	0.06713	28.19
E2_GP27_day4_pp23	0.21	0.9266	11.33	0.08976	10.58
E2_GP27_day4_pp24	0.1736	0.9411	9.9	0.0752	10.19
E2_GP28_day3_pp01	0.256	0.9006	5.0	0.1578	5.0
E2_GP28_day3_pp02	0.2802	0.8917	10.19	0.1146	10.4
E2_GP28_day3_pp03	0.2676	0.8957	7.062	0.1442	6.222
E2_GP28_day3_pp04	0.3888	0.8327	6.353	0.2077	6.353
E2_GP28_day3_pp05	0.3075	0.8807	13.97	0.1187	13.27
E2_GP28_day3_pp06	0.3405	0.864	13.44	0.1327	12.85
E2_GP28_day3_pp07	0.2808	0.8876	6.686	0.154	6.686
E2_GP28_day3_pp08	0.2828	0.8868	6.084	0.1554	6.084
E2_GP28_day3_pp09	0.4519	0.8451	6.485	0.2188	12.29
E2_GP28_day3_pp10	0.3722	0.8543	11.72	0.1478	11.72
E2_GP28_day3_pp11	0.4477	0.8201	13.51	0.1999	13.51
E2_GP28_day3_pp12	0.2933	0.8997	10.27	0.1328	10.27
E2_GP28_day3_pp13	0.2233	0.9256	12.08	0.09007	12.22
E2_GP28_day3_pp14	0.2543	0.9167	11.72	0.1129	11.72
E2_GP28_day3_pp15	0.2267	0.9236	7.768	0.111	7.768
E2_GP28_day3_pp16	0.2086	0.9373	7.0	0.1069	7.0
E2_GP28_day3_pp17	0.2892	0.9051	16.44	0.1039	16.45
E2_GP28_day3_pp18	0.3424	0.891	25.18	0.1068	25.16
E2_GP28_day3_pp19	0.2938	0.9057	14.28	0.1113	14.11
E2_GP28_day3_pp20	0.2653	0.9142	13.0	0.1046	12.93
E2_GP28_day4_pp01	0.8045	0.5996	10.87	0.3542	10.87
E2_GP28_day4_pp02	0.3877	0.8454	17.26	0.1299	22.34
E2_GP28_day4_pp03	0.1774	0.9353	5.086	0.109	5.086
E2_GP28_day4_pp04	0.1844	0.9317	4.0	0.1335	4.0
E2_GP28_day4_pp05	0.1866	0.9342	10.64	0.07884	10.96
E2_GP28_day4_pp06	0.1766	0.9361	7.959	0.09277	7.215
E2_GP28_day4_pp07	0.3445	0.8558	4.918	0.2147	4.918
E2_GP28_day4_pp08	0.1544	0.9405	4.536	0.09929	4.536
E2_GP28_day4_pp09	1.056	0.4512	11.31	0.3703	17.18
E2_GP28_day4_pp10	0.3848	0.8487	2.318	0.2871	6.99
E2_GP28_day4_pp11	0.3687	0.8528	7.251	0.186	7.251
E2_GP28_day4_pp12	0.2747	0.8959	8.0	0.1354	8.0
E2_GP28_day4_pp13	0.2866	0.8999	9.519	0.1227	9.981
E2_GP28_day4_pp14	0.3656	0.8588	4.536	0.1465	4.536
E2_GP28_day4_pp16	0.2242	0.9218	11.72	0.05485	11.72
E2_GP28_day4_pp17	0.2929	0.8829	8.303	0.1382	8.759
E2_GP28_day4_pp18	0.3295	0.8665	11.7	0.1263	14.31
E2_GP28_day4_pp19	0.329	0.8626	9.401	0.1547	8.568
E2_GP28_day4_pp20	0.2672	0.8951	9.046	0.12	9.226
E2_GP28_day4_pp21	0.2769	0.8943	11.83	0.1104	12.26
E2_GP28_day4_pp23	0.2584	0.8984	7.461	0.1302	7.461
E2_GP28_day4_pp24	0.2238	0.9159	7.716	0.1076	8.1
E2_GP29_day4_pp01	0.01746	0.9964	25.4	0.007643	12.44
E2_GP29_day4_pp02	0.02209	0.9951	10.73	0.009383	10.26
E2_GP29_day4_pp03	0.0133	0.9974	16.58	0.006651	9.486
E2_GP29_day4_pp04	0.02447	0.9937	11.66	0.003214	13.76
E2_GP29_day4_pp05	0.01607	0.9969	16.71	0.006673	10.78
E2_GP29_day4_pp06	0.01333	0.9975	18.03	0.005394	10.02
E2_GP29_day4_pp07	0.01434	0.9972	17.66	0.005917	10.53
E2_GP29_day4_pp08	0.01867	0.9958	10.41	0.008375	9.57
E2_GP29_day4_pp09	0.3939	0.8954	104.7	0.08903	80.99
E2_GP29_day4_pp10	0.01587	0.9966	18.45	0.006411	10.63
E2_GP29_day4_pp11	0.01308	0.9973	15.51	0.005557	9.593
E2_GP29_day4_pp12	0.01174	0.9977	14.19	0.005183	8.729
E2_GP29_day4_pp13	0.01662	0.9965	15.46	0.006802	11.09
E2_GP29_day4_pp14	0.01765	0.9965	19.42	0.006819	12.27
E2_GP29_day4_pp15	0.0187	0.9961	23.4	0.006998	13.65
E2_GP29_day4_pp16	0.01628	0.9966	14.01	0.006689	10.06
E2_GP29_day4_pp17	0.01617	0.9967	22.71	0.00651	12.12
E2_GP29_day4_pp18	0.02646	0.9936	17.37	0.01047	11.37
E2_GP29_day4_pp19	0.01979	0.996	24.19	0.007134	13.94
E2_GP29_day4_pp20	0.01285	0.9975	10.24	0.00578	7.739
E2_GP29_day4_pp21	0.01378	0.9973	16.77	0.005537	9.258
E2_GP29_day4_pp22	0.01548	0.9968	16.72	0.006255	10.37
E2_GP29_day4_pp23	0.01674	0.9966	20.4	0.007266	12.91
E2_GP29_day4_pp24	0.0114	0.9977	15.69	0.0051	9.449
E2_GP29_day5_pp01	0.01299	0.9976	17.45	0.005473	9.992
E2_GP29_day5_pp02	0.01656	0.9967	15.19	0.006914	9.946
E2_GP29_day5_pp03	0.01792	0.9965	15.41	0.006827	11.67
E2_GP29_day5_pp04	0.01455	0.9968	20.9	0.00709	11.46
E2_GP29_day5_pp05	0.01891	0.9958	15.18	0.007954	10.67
E2_GP29_day5_pp06	0.01678	0.9965	13.96	0.006763	10.73
E2_GP29_day5_pp07	0.01248	0.9975	13.21	0.005299	9.045
E2_GP29_day5_pp08	0.01711	0.9962	8.895	0.007522	8.491
E2_GP29_day5_pp09	0.01452	0.9969	12.67	0.007262	9.826
E2_GP29_day5_pp10	0.01271	0.9974	14.32	0.005784	9.339
E2_GP29_day5_pp11	0.01468	0.997	23.55	0.005846	10.86
E2_GP29_day5_pp12	0.01776	0.9961	19.59	0.006992	12.9
E2_GP29_day5_pp13	0.01068	0.9981	18.36	0.004664	9.318
E2_GP29_day5_pp14	0.01279	0.9975	10.63	0.005726	8.815
E3_GP34_day2_pp01	1.11	0.5062	65.46	0.2908	46.22
E3_GP34_day2_pp02	1.061	0.5025	61.75	0.2731	46.66
E3_GP34_day2_pp03	0.5646	0.7669	43.85	0.1598	33.19
E3_GP34_day2_pp04	0.3021	0.9055	41.28	0.08515	34.19
E3_GP34_day2_pp05	1.273	0.4028	52.6	0.3862	27.62
E3_GP34_day2_pp06	0.2799	0.8859	22.9	0.09733	19.62
E3_GP34_day2_pp07	1.155	0.5172	53.2	0.296	49.02
E3_GP34_day2_pp08	0.4438	0.822	43.62	0.1305	30.09
E3_GP34_day2_pp09	0.8046	0.6098	43.31	0.2234	35.94
E3_GP34_day2_pp10	0.08822	0.9742	28.01	0.02982	19.49
E3_GP34_day2_pp11	0.6418	0.7226	40.69	0.181	34.71
E3_GP34_day2_pp12	0.03012	0.9936	31.29	0.01027	17.27
E3_GP34_day2_pp13	1.004	0.5035	60.24	0.2591	49.97
E3_GP34_day2_pp14	0.7156	0.6613	33.95	0.2136	28.21
E3_GP34_day3_pp01	0.8901	0.5011	29.05	0.2957	19.6
E3_GP34_day3_pp02	0.02857	0.9942	13.29	0.01112	12.86
E3_GP34_day3_pp03	0.02814	0.994	16.76	0.01014	14.52
E3_GP34_day3_pp04	0.02196	0.9951	11.21	0.01	9.656
E3_GP34_day3_pp05	0.2424	0.9104	19.09	0.08283	18.26
E3_GP34_day3_pp06	0.03168	0.9925	18.81	0.01214	15.04
E3_GP34_day3_pp07	0.0215	0.9953	18.39	0.008275	13.17
E3_GP34_day3_pp08	0.01733	0.9964	17.24	0.006797	11.52
E3_GP34_day3_pp09	0.7354	0.6213	22.88	0.2587	17.24
E3_GP34_day3_pp10	0.2928	0.8735	22.0	0.1096	14.99
E3_GP34_day3_pp11	0.01476	0.9971	17.1	0.006156	10.26
E3_GP34_day3_pp12	0.01176	0.9976	15.09	0.005085	8.911
E3_GP34_day3_pp13	0.02494	0.995	19.91	0.009041	13.65
E3_GP34_day3_pp14	0.02021	0.9955	15.7	0.008114	11.83
E3_GP34_day3_pp15	0.01443	0.9968	13.61	0.006372	9.11
E3_GP34_day3_pp16	0.3375	0.8524	17.45	0.1242	15.69
E3_GP34_day3_pp17	0.09639	0.9718	15.26	0.03649	15.51
E3_GP34_day3_pp18	0.01845	0.9964	24.44	0.006913	12.5
E3_GP34_day3_pp19	0.02164	0.9949	12.43	0.009311	10.75
E3_GP34_day3_pp20	0.0236	0.9949	15.29	0.00896	12.72
E3_GP34_day3_pp21	0.05388	0.9874	21.57	0.01816	17.63
E3_GP34_day3_pp22	0.2847	0.8811	21.25	0.1034	15.1
E3_GP34_day3_pp23	0.03182	0.9931	19.99	0.01159	14.69
E3_GP34_day3_pp24	0.5467	0.734	24.06	0.1964	16.4
E3_GP38_day2_pp01	0.03449	0.9924	26.38	0.01187	17.72
E3_GP38_day2_pp02	0.04767	0.9892	23.9	0.01599	19.58
E3_GP38_day2_pp03	0.7766	0.5362	35.63	0.227	28.72
E3_GP38_day2_pp04	0.02554	0.9948	17.12	0.009601	13.32
E3_GP38_day2_pp05	0.03078	0.9932	19.77	0.01097	13.97
E3_GP38_day2_pp06	0.02845	0.994	22.05	0.01037	15.51
E3_GP38_day2_pp07	0.1736	0.9435	24.43	0.05779	20.31
E3_GP38_day2_pp08	0.03248	0.9927	17.14	0.01235	12.39
E3_GP38_day2_pp09	0.1682	0.9522	40.69	0.04791	30.69
E3_GP38_day2_pp10	0.4646	0.7948	26.18	0.1466	22.94
E3_GP38_day2_pp11	0.04116	0.9908	22.19	0.01435	17.33
E3_GP38_day2_pp12	0.03095	0.9933	27.18	0.01075	16.85
E3_GP38_day2_pp13	0.1123	0.967	34.73	0.03487	23.89
E3_GP38_day2_pp14	0.03692	0.9913	20.57	0.01377	14.27
E3_GP38_day2_pp15	0.8195	0.5271	31.77	0.2605	23.28
E3_GP38_day2_pp16	0.01398	0.9974	13.85	0.00568	9.756
E3_GP38_day2_pp17	0.02286	0.9952	17.59	0.008447	13.35
E3_GP38_day2_pp18	0.01997	0.996	23.13	0.007394	13.66
E3_GP38_day2_pp20	0.02543	0.9945	16.39	0.009819	13.45
E3_GP38_day2_pp21	0.1058	0.9675	28.1	0.03409	20.41
E3_GP38_day3_pp01	0.03297	0.9926	16.91	0.01191	16.76
E3_GP38_day3_pp02	0.01384	0.9974	6.293	0.006282	6.658
E3_GP38_day3_pp03	0.03474	0.9924	16.01	0.01255	16.68
E3_GP38_day3_pp04	0.04772	0.9898	21.69	0.01572	19.05
E3_GP38_day3_pp05	0.05456	0.9865	14.07	0.02074	14.88
E3_GP38_day3_pp06	0.0633	0.982	10.76	0.02667	10.31
E3_GP38_day3_pp07	0.02697	0.9945	21.01	0.009736	15.39
E3_GP38_day3_pp08	0.03047	0.9931	15.86	0.01232	12.67
E3_GP38_day3_pp09	0.03861	0.9906	12.52	0.01591	12.65
E3_GP38_day3_pp10	0.02366	0.995	27.96	0.009186	14.61
E3_GP38_day3_pp11	0.04175	0.9907	19.33	0.01456	16.13
E3_GP38_day3_pp12	0.02513	0.9947	18.67	0.009524	13.21
E3_GP38_day3_pp13	0.02424	0.995	15.38	0.008831	12.63
E3_GP38_day3_pp14	0.0207	0.9954	12.2	0.008792	10.11
E3_GP38_day3_pp15	0.03574	0.9922	21.98	0.0132	13.95
E3_GP38_day3_pp16	0.0388	0.9905	22.14	0.01436	14.21
E3_GP38_day3_pp17	0.01874	0.996	14.92	0.00803	10.36
E3_GP38_day3_pp18	0.01712	0.9966	19.43	0.007222	10.53
E3_GP38_day3_pp19	0.03223	0.9928	17.8	0.01164	14.84
