num	sample_name	experiment	lane_num	absolute_day_num	absolute_day	unique_animal_num	unique_animal_ID	pair_num	pairID	type	route	titer	plaque	first_positive	max_titer
1	E1-GP01-D1	E1	lane1	1	D1	1	GP01	1	p01	i	dc	5.45484486	1	1	0
2	E1-GP10-D4	E1	lane1	4	D4	10	GP10	5	p05	e	at	2.301029996	1	1	0
3	E1-GP11-D1	E1	lane1	1	D1	11	GP11	6	p06	i	at	5.62324929	1	1	0
4	E1-GP12-D3	E1	lane1	3	D3	12	GP12	6	p06	e	at	2.653212514	1	1	0
5	E1-GP13-D1	E1	lane1	1	D1	13	GP13	7	p07	i	at	5.752048448	1	1	0
6	E1-GP14-D3	E1	lane1	3	D3	14	GP14	7	p07	e	at	3.389166084	1	1	0
7	E1-GP15-D1	E1	lane1	1	D1	15	GP15	8	p08	i	at	5.531478917	1	1	0
8	E1-GP16-D4	E1	lane1	4	D4	16	GP16	8	p08	e	at	1.397940009	0	0	0
9	E1-GP02-D2	E1	lane1	2	D2	2	GP02	1	p01	e	dc	3.954242509	1	1	0
10	E1-GP03-D1	E1	lane1	1	D1	3	GP03	2	p02	i	dc	5.77815125	1	1	0
11	E1-GP04-D2	E1	lane1	2	D2	4	GP04	2	p02	e	dc	2.176091259	1	1	0
12	E1-GP05-D1	E1	lane1	1	D1	5	GP05	3	p03	i	dc	5.653212514	1	1	0
13	E1-GP06-D2	E1	lane1	2	D2	6	GP06	3	p03	e	dc	2.301029996	1	1	0
14	E1-GP07-D1	E1	lane1	1	D1	7	GP07	4	p04	i	dc	5.447158031	1	1	0
15	E1-GP08-D2	E1	lane1	2	D2	8	GP08	4	p04	e	dc	2.176091259	1	1	0
16	E1-GP09-D1	E1	lane1	1	D1	9	GP09	5	p05	i	at	5.591064607	1	1	0
17	E1-GP01-D2	E1	lane2	2	D2	1	GP01	1	p01	i	dc	6.342422681	1	0	1
18	E1-GP01-D3	E1	lane2	3	D3	1	GP01	1	p01	i	dc	6.311753861	1	0	0
19	E1-GP01-D4	E1	lane2	4	D4	1	GP01	1	p01	i	dc	4.658011397	1	0	0
20	E1-GP01-D5	E1	lane2	5	D5	1	GP01	1	p01	i	dc	3.243038049	1	0	0
21	E1-GP01-D6	E1	lane2	6	D6	1	GP01	1	p01	i	dc	2.477121255	1	0	0
22	E1-GP01-D7	E1	lane2	7	D7	1	GP01	1	p01	i	dc	2	1	0	0
23	E1-GP10-D2	E1	lane2	2	D2	10	GP10	5	p05	e	at	1.397940009	0	0	0
24	E1-GP10-D3	E1	lane2	3	D3	10	GP10	5	p05	e	at	1.397940009	0	0	0
25	E1-GP10-D5	E1	lane2	5	D5	10	GP10	5	p05	e	at	5.255272505	1	0	0
26	E1-GP10-D6	E1	lane2	6	D6	10	GP10	5	p05	e	at	6.342422681	1	0	1
